object,category,context,bert_similarity,word2vec_similarity,glove_similarity,average_similarity
apple,Fruits,bedroom,0.8491835594177246,0.03688511997461319,0.043446075171232224,0.30983825152119
apple,Fruits,kitchen,0.8341412544250488,0.1500253677368164,0.19875599443912506,0.39430753886699677
apple,Fruits,garden,0.7579723000526428,0.29055312275886536,0.20532254874706268,0.41794932385285694
apple,Fruits,office,0.8427360653877258,0.0549539253115654,0.17925889790058136,0.3589829628666242
apple,Fruits,playroom,0.6570477485656738,0.09085994958877563,-0.07638087123632431,0.22384227563937506
apple,Fruits,dining_room,0.5913750529289246,0.10004158318042755,0.12824341654777527,0.2732200175523758
apple,Fruits,laundry_room,0.6118149757385254,0.07337332516908646,0.09954681247472763,0.2615783711274465
apple,Fruits,living_room,0.5873029232025146,0.02791319228708744,0.12232209742069244,0.24584607097009817
orange,Fruits,bedroom,0.8631935119628906,0.04809170216321945,0.15060393512248993,0.35396304974953335
orange,Fruits,kitchen,0.8095396161079407,0.08993031084537506,0.14125093817710876,0.34690695504347485
orange,Fruits,garden,0.7572559714317322,0.18735885620117188,0.2336268275976181,0.39274721841017407
orange,Fruits,office,0.8787253499031067,0.04552237689495087,0.20886339247226715,0.3777037064234416
orange,Fruits,playroom,0.6003015637397766,0.11938527226448059,-0.09181228280067444,0.2092915177345276
orange,Fruits,dining_room,0.5589726567268372,0.17027859389781952,0.16659583151340485,0.2986156940460205
orange,Fruits,laundry_room,0.5756978988647461,0.09416674077510834,0.1874239444732666,0.28576286137104034
orange,Fruits,living_room,0.5485288500785828,0.06894481182098389,0.1770138442516327,0.26482916871706647
lemon,Fruits,bedroom,0.8884566426277161,0.0974951833486557,0.07781025022268295,0.3545873587330182
lemon,Fruits,kitchen,0.8376744985580444,0.19525223970413208,0.1408146321773529,0.39124712347984314
lemon,Fruits,garden,0.7721366882324219,0.2228354960680008,0.12864790856838226,0.3745400309562683
lemon,Fruits,office,0.8938263058662415,0.007006668020039797,-0.06850714236497879,0.27744194384043414
lemon,Fruits,playroom,0.6101081967353821,0.11969712376594543,-0.05072057619690895,0.2263615814348062
lemon,Fruits,dining_room,0.5641213059425354,0.1868106871843338,0.1502649039030075,0.30039896567662555
lemon,Fruits,laundry_room,0.5907435417175293,0.10861464589834213,0.11750544607639313,0.27228787789742154
lemon,Fruits,living_room,0.5554618239402771,0.025516502559185028,0.11677449196577072,0.2325842728217443
banana,Fruits,bedroom,0.8944704532623291,0.09242299199104309,0.02226153388619423,0.33638499304652214
