object,category,context,fasttext_similarity,word2vec_similarity,glove_similarity,average_similarity
apple,Fruits,kitchen,0.19525370001792908,0.1500253677368164,0.19875599443912506,0.1813450207312902
apple,Fruits,office,0.08486676961183548,0.0549539253115654,0.17925889790058136,0.10635986427466075
apple,Fruits,playroom,0.08269213885068893,0.09085994958877563,-0.07638087123632431,0.03239040573438009
apple,Fruits,living_room,-0.010562513954937458,0.02791319228708744,0.12232209742069244,0.04655759191761414
apple,Fruits,bedroom,0.08573953062295914,0.03688511997461319,0.043446075171232224,0.05535690858960152
apple,Fruits,dining_room,0.02846646122634411,0.10004158318042755,0.12824341654777527,0.0855838203181823
apple,Fruits,pantry,0.11045808345079422,0.14604449272155762,0.06529519706964493,0.10726592441399892
apple,Fruits,garden,0.27058133482933044,0.29055312275886536,0.20532254874706268,0.2554856687784195
apple,Fruits,laundry_room,0.059085745364427567,0.07337332516908646,0.09954681247472763,0.07733529433608055
apple,Fruits,bathroom,0.09545819461345673,0.02543206885457039,0.023148134350776672,0.04801279927293459
orange,Fruits,kitchen,0.16967488825321198,0.08993031084537506,0.14125093817710876,0.13361871242523193
orange,Fruits,office,0.08708719164133072,0.04552237689495087,0.20886339247226715,0.11382432033618291
orange,Fruits,playroom,0.12706516683101654,0.11938527226448059,-0.09181228280067444,0.05154605209827423
orange,Fruits,living_room,0.10959409922361374,0.06894481182098389,0.1770138442516327,0.11851758509874344
orange,Fruits,bedroom,0.14757022261619568,0.04809170216321945,0.15060393512248993,0.11542195330063502
orange,Fruits,dining_room,0.12956441938877106,0.17027859389781952,0.16659583151340485,0.15547961493333182
orange,Fruits,pantry,0.10807405412197113,0.0518529899418354,0.05511704459786415,0.07168136288722356
orange,Fruits,garden,0.1964859664440155,0.18735885620117188,0.2336268275976181,0.2058238834142685
orange,Fruits,laundry_room,0.12957917153835297,0.09416674077510834,0.1874239444732666,0.1370566189289093
orange,Fruits,bathroom,0.14363956451416016,0.1153794527053833,0.061033375561237335,0.10668413092692693
lemon,Fruits,kitchen,0.2036520540714264,0.19525223970413208,0.1408146321773529,0.17990630865097046
lemon,Fruits,office,0.03275169059634209,0.007006668020039797,-0.06850714236497879,-0.009582927916198969
lemon,Fruits,playroom,0.027850348502397537,0.11969712376594543,-0.05072057619690895,0.03227563202381134
lemon,Fruits,living_room,0.10164054483175278,0.025516502559185028,0.11677449196577072,0.08131051311890285
lemon,Fruits,bedroom,0.13449934124946594,0.0974951833486557,0.07781025022268295,0.10326825827360153
lemon,Fruits,dining_room,0.09229952096939087,0.1868106871843338,0.1502649039030075,0.14312503735224405
lemon,Fruits,pantry,0.12709122896194458,0.15830212831497192,0.13173003494739532,0.13904113074143729
lemon,Fruits,garden,0.2257271558046341,0.2228354960680008,0.12864790856838226,0.1924035201470057
